Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
2091.0,2095.0,189930.00000000003,4704.0,1.0,5.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2091.0,2096.0,189930.00000000003,9600.0,1.0,6.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.46174142480211083
2091.0,2097.0,189930.00000000003,9600.0,1.0,7.0,Parent to Child,0.9574720116412951,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.7792436235708003
2091.0,2098.0,189930.00000000003,19500.0,1.0,8.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2091.0,2099.0,189930.00000000003,19500.0,1.0,9.0,Parent to Child,0.9928164493515752,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2103.0,2104.0,10112.0,10112.0,0.0,1.0,Parent to Child,0.9810126582278481,208.0,joan-snyder_sigh-2006.jpg,90.0,0.12968917470525188
2105.0,2106.0,10112.0,10112.0,2.0,3.0,Parent to Child,1.0,208.0,joan-snyder_sigh-2006.jpg,90.0,0.12736842105263158
2107.0,2108.0,10112.0,10112.0,4.0,5.0,Parent to Child,0.979628164556962,208.0,joan-snyder_sigh-2006.jpg,90.0,0.12968917470525188
2109.0,2110.0,10112.0,10112.0,6.0,7.0,Parent to Child,1.0,208.0,joan-snyder_sigh-2006.jpg,90.0,0.13095238095238096
2111.0,2112.0,10112.0,10112.0,8.0,9.0,Parent to Child,0.9594541139240507,208.0,joan-snyder_sigh-2006.jpg,90.0,0.12736842105263158
2113.0,2114.0,8832.0,8832.0,10.0,11.0,Parent to Child,0.9778079710144928,208.0,joan-snyder_sigh-2006.jpg,90.0,0.14864864864864866
2115.0,2116.0,8832.0,8832.0,12.0,13.0,Parent to Child,0.9921875,208.0,joan-snyder_sigh-2006.jpg,90.0,0.14404761904761904
2117.0,2118.0,8832.0,8832.0,14.0,15.0,Parent to Child,0.9420289855072463,208.0,joan-snyder_sigh-2006.jpg,90.0,0.14404761904761904
2119.0,2120.0,8832.0,8832.0,16.0,17.0,Parent to Child,0.9634284420289855,208.0,joan-snyder_sigh-2006.jpg,90.0,0.15031055900621118
2121.0,2122.0,8832.0,8832.0,18.0,19.0,Parent to Child,0.970108695652174,208.0,joan-snyder_sigh-2006.jpg,90.0,0.14404761904761904
2123.0,2124.0,8832.0,8832.0,20.0,21.0,Parent to Child,0.9415760869565217,208.0,joan-snyder_sigh-2006.jpg,90.0,0.14404761904761904
2128.0,2129.0,28836.0,5586.0,2.0,3.0,Parent to Child,0.9649328656269506,208.0,camille-bombois_port-de-boulogne-1927.jpg,1.9749340108819808,0.0
2130.0,2131.0,29832.00000000001,29831.999999999993,0.0,1.0,Parent to Child,0.9855311596916345,208.0,hans-hofmann_bird-cage-variation-ii-1958.jpg,89.30127932029073,0.07894736842105263
2132.0,2133.0,8162.000000000007,8161.999999999997,2.0,3.0,Parent to Child,0.9497275902118494,208.0,hans-hofmann_bird-cage-variation-ii-1958.jpg,89.30127932029073,0.1299126637554585
2134.0,2135.0,8500.000000000005,8500.000000000002,4.0,5.0,Parent to Child,0.9783242464978614,208.0,hans-hofmann_bird-cage-variation-ii-1958.jpg,89.30127932029073,0.1493975903614458
